Executed time, 2021-10-29 21:58:56.818257
1, 0
2, 0.847745
3, 0.769492
4, 0.909026
5, 0.850062
6, 0.977392
7, 1.556649
8, 3.475126
9, 0.940138
10, 0.935589
11, 0.963156
12, 0.97683
13, 0.982639
14, 1.031825
15, 0.982528
16, 1.038335
17, 1.04039
18, 1.03659
19, 1.129998
20, 1.061921
21, 1.069896
22, 1.132146
23, 1.114597
24, 1.141076
25, 1.152975
26, 1.164337
27, 1.198262
28, 1.444581
29, 0.977781
30, 2.509198
31, 1.300974
32, 1.297562
33, 1.332471
34, 2.720589
35, 1.387228
36, 1.407314
37, 1.443498
38, 1.47081
39, 1.494367
40, 1.506375
41, 1.575795
42, 1.554629
43, 1.676901
44, 1.664139
45, 1.643203
46, 1.741001
47, 1.74924
48, 1.771592
49, 1.834213
50, 1.890574
51, 1.918708
52, 1.981252
53, 2.039814
54, 2.075111
55, 2.130885
56, 2.205988
57, 2.237967
58, 2.348018
59, 2.40313
60, 2.478129
61, 2.548896
62, 2.635407
63, 2.731321
64, 2.827754
65, 2.937574
66, 6.234759
67, 3.310946
68, 3.434217
69, 3.594657
70, 3.774354
71, 3.91424
72, 4.155771
73, 4.369558
74, 4.653156
75, 4.862067
76, 5.172826
77, 5.604379
78, 3.831703
79, 2.337564
80, 2.53053
81, 1.831416
82, 2.044655
83, 2.646826
84, 1.806076
85, 2.085121
86, 2.656447
87, 1.977482
88, 2.247156
89, 1.747143
90, 2.025472
91, 2.061285
92, 1.769043
93, 2.144919
94, 1.878774
95, 1.762332
96, 2.147521
97, 1.987909
98, 1.79277
99, 2.149691
100, 4.510683
101, 3.441967
102, 2.727412
103, 3.643782
104, 4.277585
105, 4.370874
106, 3.576472
107, 3.613747
108, 3.881167
109, 18.712102
110, 4.335134
111, 3.767792
112, 3.192689
113, 9.488631
114, 8.230914
115, 4.03169
116, 4.092291
117, 3.309105
118, 3.745673
119, 3.562891
120, 4.117933
121, 4.098383
122, 4.309776
123, 3.450021
124, 3.717896
125, 4.360572
126, 3.853641
127, 3.11789
128, 2.269995
129, 1.870848
130, 1.564893
131, 1.635453
132, 1.85369
133, 1.592606
134, 1.605918
135, 1.85558
136, 1.690565
137, 1.479945
138, 1.829704
139, 1.761807
140, 1.488504
141, 1.704325
142, 1.77821
143, 1.401379
144, 1.542232
145, 1.795321
146, 1.494191
147, 1.360973
148, 1.49409
149, 1.626695
150, 1.641109
151, 1.351829
152, 1.540049
153, 1.65262
154, 1.634858
155, 1.387806
156, 1.661078
157, 1.61473
158, 1.43389
159, 1.647319
160, 1.685418
161, 1.510543
162, 1.49663
163, 1.790544
164, 1.628082
165, 1.396424
166, 1.442524
167, 1.615543
168, 1.458814
169, 1.320475
170, 1.565937
171, 1.618782
172, 1.760735
173, 1.370145
174, 1.659343
175, 3.046368

